fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol
74;7;0;19;76;11;34;9978;351;56;94
78;88;0;26;98;25;67;9968;32;68;98
78;76;4;23;92;15;54;997;326;65;98
112;28;56;19;75;17;60;998;316;58;98
74;7;0;19;76;11;34;9978;351;56;94
74;66;0;18;75;13;40;9978;351;56;94
79;6;6;16;69;15;59;9964;33;46;94
73;65;0;12;65;15;21;9946;339;47;10
78;58;2;2;73;9;18;9968;336;57;95
75;5;36;61;71;17;102;9978;335;8;105
67;58;8;18;97;15;65;9959;328;54;92
75;5;36;61;71;17;102;9978;335;8;105
56;615;0;16;89;16;59;9943;358;52;99
78;61;29;16;114;9;29;9974;326;156;91
89;62;18;38;176;52;145;9986;316;88;92
89;62;19;39;17;51;148;9986;317;93;92
85;28;56;18;92;35;103;9969;33;75;105
81;56;28;17;368;16;56;9968;311;128;93
74;59;8;44;86;6;29;9974;338;5;9
79;32;51;18;341;17;56;9969;304;108;92
89;22;48;18;77;29;60;9968;339;53;94
76;39;31;23;82;23;71;9982;352;65;97
79;43;21;16;106;10;37;9966;317;91;95
85;49;11;23;84;9;67;9968;317;53;94
69;4;14;24;85;21;40;9968;343;63;97
63;39;16;14;8;11;23;9955;334;56;93
76;41;24;18;8;4;11;9962;328;59;95
79;43;21;16;106;10;37;9966;317;91;95
71;71;0;19;8;14;35;9972;347;55;94
78;645;0;2;82;8;16;9964;338;59;98
67;675;7;24;89;17;82;9958;335;54;101
69;685;0;25;105;22;37;9966;346;57;106
83;655;12;23;83;15;113;9966;317;66;98
69;605;12;107;73;40;83;9993;345;52;94
52;32;25;18;103;13;50;9957;338;55;92
78;645;0;55;86;5;18;9986;34;55;96
78;6;14;24;86;3;15;9975;342;6;108
81;38;28;21;66;13;30;9968;323;73;97
57;113;9;15;172;7;19;994;35;48;98
73;45;36;59;74;12;87;9978;333;83;105
73;45;36;59;74;12;87;9978;333;83;105
88;61;3;28;88;17;46;9976;326;51;93
75;49;2;26;332;8;14;9968;321;9;105
81;66;22;22;69;9;23;9968;33;12;103
68;67;2;18;5;5;11;9962;348;52;95
46;52;15;21;54;8;65;9934;39;56;131
77;935;43;22;114;22;114;997;325;73;92
87;29;52;16;113;12;37;9969;325;58;95
64;4;23;16;66;5;12;9958;334;56;92
56;31;37;14;74;12;96;9954;332;58;92
88;66;26;17;74;4;23;9971;315;74;92
66;52;4;22;69;8;15;9956;34;63;94
66;5;4;21;68;6;14;9955;339;64;94
86;38;36;3;81;30;119;997;32;56;94
76;51;15;28;11;33;73;9955;317;63;102
77;62;4;38;84;25;45;9978;334;53;95
102;42;57;34;7;4;10;9971;304;63;96
75;63;12;51;111;50;110;9983;326;77;94
78;59;18;23;76;17;54;9975;343;59;10
73;39;31;24;74;9;46;9962;341;54;94
88;4;4;22;79;19;52;998;344;64;92
77;69;49;18;115;20;112;9968;321;71;93
75;52;16;19;85;12;35;9968;338;62;95
7;735;5;2;81;13;54;9966;339;57;98
72;725;5;465;86;4;11;9962;341;39;109
72;725;5;465;86;4;11;9962;341;39;109
75;52;11;15;79;11;39;9968;342;58;96
66;705;7;16;76;6;15;9962;344;58;107
93;32;57;2;74;27;65;9969;328;79;107
8;705;5;19;74;8;19;9962;334;95;105
77;63;8;19;76;15;27;9967;332;54;95
77;67;23;21;88;17;96;9962;332;48;95
77;69;22;19;84;18;94;9961;331;48;95
83;675;26;21;84;11;43;9976;331;53;92
97;32;54;25;94;28;83;9984;328;82;96
88;41;64;22;93;9;42;9986;354;66;105
88;41;64;22;93;9;42;9986;354;66;105
68;785;0;24;104;14;30;9966;352;55;107
67;75;12;2;86;12;80;9958;338;52;101
83;625;2;15;8;27;119;9972;316;112;91
62;45;2;16;69;3;15;9958;341;56;92
78;43;7;19;464;22;67;9974;313;128;94
74;5;47;2;86;21;73;997;336;57;91
73;67;26;18;401;16;51;9969;316;114;94
63;3;48;18;69;18;61;9959;344;78;103
69;55;15;22;76;19;40;9961;341;59;101
86;49;28;19;11;20;136;9972;293;195;99
77;49;26;19;62;9;31;9966;339;64;96
93;39;44;21;107;34;125;9978;314;122;95
7;62;8;18;76;8;24;9978;348;53;9
79;52;26;19;79;42;140;9964;323;54;95
86;49;28;19;11;20;136;9972;293;195;99
86;49;29;2;11;19;133;9972;293;198;98
77;49;26;19;62;9;31;9966;339;64;96
5;102;4;14;45;41;85;9938;375;48;105
47;6;17;23;58;17;106;9932;385;6;129
68;775;0;3;102;8;23;9965;345;56;107
7;5;25;2;7;3;22;9963;325;63;92
76;9;6;25;79;5;10;9967;339;56;98
81;545;18;19;8;13;35;9972;33;59;9
83;61;3;21;84;11;50;9972;34;61;102
78;5;3;19;75;8;22;9959;331;56;104
81;545;18;19;8;13;35;9972;33;59;9
81;575;22;21;77;12;65;9967;329;51;92
72;49;24;22;7;5;36;996;333;48;94
81;575;22;21;77;12;65;9967;329;51;92
78;41;68;17;467;18;69;9973;308;131;93
62;63;31;17;88;15;64;9969;346;79;93
8;33;53;25;91;18;80;9976;337;8;96
81;785;52;2;122;37;153;9969;321;69;93
78;56;19;18;104;12;47;9964;319;93;95
84;62;9;22;84;11;108;9964;315;66;98
84;6;1;22;85;14;111;9964;315;66;98
101;31;44;23;8;22;46;9988;332;67;97
78;56;19;18;104;12;47;9964;319;93;95
94;4;31;22;9;13;62;9966;307;63;105
83;54;28;19;77;11;40;9978;339;61;10
78;56;12;2;82;7;28;997;337;5;94
88;55;4;22;119;14;56;9962;321;6;109
7;69;8;18;97;22;89;9959;334;54;92
73;107;9;17;178;10;89;9962;33;57;9
88;55;4;22;119;14;56;9962;321;6;109
73;695;0;25;75;3;13;998;349;52;92
8;71;0;26;8;11;34;9976;344;53;95
78;5;17;16;82;21;102;996;339;48;95
9;62;4;19;146;27;90;9984;316;7;94
82;133;0;17;81;3;12;9964;353;49;109
81;133;0;18;82;3;12;9964;354;48;109
8;59;16;18;65;3;16;9962;342;92;105
61;38;15;18;72;6;19;9955;342;57;94
8;745;56;2;118;30;134;9968;324;66;94
56;5;9;23;49;17;99;9937;363;63;13
56;5;9;23;49;17;99;9937;363;63;13
66;5;1;15;6;17;26;9952;34;58;98
79;104;5;22;84;13;29;9959;322;55;99
84;745;11;19;9;16;63;9965;319;82;96
83;715;15;18;89;10;52;9968;323;77;95
72;415;36;2;81;13;45;9972;348;64;92
78;56;19;21;81;15;105;9962;333;54;95
